datetime,open,high,low,close,volume
2021-09-08,765,765,718.33502,726.75,36
2021-09-09,726.75,765,726.75,729.29999,56
2021-09-10,765,765,711.45001,720.375,56
2021-09-13,765,765,710.94000,714,62
2021-09-14,710.94000,739.5,693.59998,734.40002,208
2021-09-15,696.15002,729.29999,695.38501,711.45001,40
2021-09-16,701.25,701.25,669.375,683.40002,121
2021-09-17,683.40002,701.25,663,693.59998,96
2021-09-20,660.45001,691.049988,650.25,660.45001,102
2021-09-21,671.92499,701.25,652.79999,691.049988,168
2021-09-22,648.71997,688.5,648.71997,665.54999,45
2021-09-23,670.65002,689.77502,650.25,660.45001,58
2021-09-24,657.90002,713.23499,637.5,675.75,55
2021-09-27,683.40002,688.5,646.42499,647.70001,85
2021-09-28,685.95001,685.95001,629.84998,629.84998,155
2021-09-29,612,634.95001,591.59998,617.099976,56
2021-09-30,615.82501,688.5,586.5,665.29498,154
2021-10-01,599.25,678.29999,599.25,665.54999,47
2021-10-04,642.59998,680.84998,642.59998,670.65002,84
2021-10-05,675.75,716.54999,675.75,688.5,131
2021-10-06,668.099976,714,668.099976,678.044983,40
2021-10-07,684.92999,701.25,663,668.099976,59
2021-10-08,642.59998,706.34998,642.59998,680.84998,67
2021-10-11,714,714,583.95001,586.5,175
2021-10-12,657.90002,657.90002,603.84003,612,146
2021-10-13,647.44501,647.44501,604.34998,612,66
2021-10-14,609.45001,609.45001,586.5,609.45001,47
2021-10-15,609.45001,612,581.40002,596.70001,70
2021-10-18,701.25,701.25,628.57501,634.95001,89
2021-10-19,642.59998,644.38501,609.45001,619.90503,70
2021-10-20,612,644.64001,612,627.29999,39
2021-10-21,629.84998,629.84998,604.34998,622.20001,67
2021-10-22,604.34998,631.125,586.5,601.79999,64
2021-10-25,678.29999,678.29999,599.25,599.25,85
2021-10-26,624.75,762.45001,587.77502,685.95001,1372
2021-10-27,701.25,701.25,632.40002,650.25,151
2021-10-28,645.15002,663,617.099976,624.75,110
2021-10-29,614.54999,660.45001,606.90002,609.45001,114
2021-11-01,624.75,660.45001,614.54999,634.95001,62
2021-11-02,645.15002,663,606.90002,624.75,81
2021-11-03,637.5,638.77502,606.90002,627.29999,74
2021-11-04,627.29999,627.29999,596.70001,614.54999,74
2021-11-05,612,642.59998,609.45001,617.099976,39
2021-11-08,619.65002,637.5,619.65002,627.29999,71
2021-11-09,624.75,637.5,612,617.099976,95
2021-11-10,612,624.75,599.25,609.45001,73
2021-11-11,609.45001,609.45001,586.5,599.25,295
2021-11-12,594.15002,609.45001,581.40002,586.5,175
2021-11-15,596.70001,604.34998,561,581.40002,113
2021-11-16,568.65002,581.40002,548.25,566.099976,124
2021-11-17,578.84998,581.40002,561,566.099976,84
2021-11-18,581.40002,581.40002,522.75,525.29999,99
2021-11-19,525.29999,525.29999,512.54999,517.65002,79
2021-11-22,530.90997,861.90002,502.35001,538.049988,75993
2021-11-23,467.67001,619.65002,467.67001,617.099976,3604
2021-11-24,576.29999,675.75,548.25,660.45001,1607
2021-11-26,606.90002,643.875,594.15002,601.79999,309
2021-11-29,606.90002,632.40002,545.70001,568.65002,524
2021-11-30,553.34998,576.29999,507.45001,538.049988,796
2021-12-01,535.5,555.90002,510,517.65002,262
2021-12-02,517.65002,548.25,497.25,497.25,270
2021-12-03,512.54999,535.5,474.29999,520.20001,200
2021-12-06,502.35001,518.15997,471.75,492.14999,151
2021-12-07,507.45001,520.20001,492.14999,502.35001,135
2021-12-08,502.35001,525.29999,492.14999,510,360
2021-12-09,515.099976,535.5,489.60001,530.40002,430
2021-12-10,558.45001,571.20001,525.29999,530.40002,293
2021-12-13,535.5,744.59998,532.95001,650.25,19881
2021-12-14,627.29999,813.45001,576.29999,721.65002,9459
2021-12-15,739.24500,861.90002,647.70001,693.59998,15658
2021-12-16,719.099976,775.20001,632.40002,759.90002,3062
2021-12-17,739.5,782.84998,693.59998,734.40002,1284
2021-12-20,716.54999,795.59998,652.79999,777.75,2856
2021-12-21,1915.050049,2103.75,1300.5,1389.75,296178
2021-12-22,1226.55005,1333.65002,1032.75,1234.19995,23178
2021-12-23,1175.55005,1178.099976,1053.15002,1101.59998,7629
2021-12-27,1065.90002,1509.59998,1063.34998,1354.050049,39935
2021-12-28,1825.80005,1874.25,1448.40002,1535.099976,181216
2021-12-29,1494.30005,1708.5,1343.84998,1593.75,28738
2021-12-30,1917.59998,1971.15002,1624.34998,1675.34998,92656
2021-12-31,1609.050049,1779.90002,1532.55005,1642.19995,13831
2022-01-03,1660.050049,2435.25,1606.5,1932.90002,100015
2022-01-04,1782.44995,2572.94995,1736.55005,2376.60010,204411
2022-01-05,2152.19995,2674.94995,2073.14990,2269.5,94822
2022-01-06,2286.84009,2437.80005,1657.5,1721.25,25985
2022-01-07,1731.44995,1884.44995,1448.40002,1555.5,15810
2022-01-10,1650.10498,2129.25,1644.75,2004.30005,58055
2022-01-11,2046.88501,2200.64990,1935.44995,2055.30005,33034
2022-01-12,2024.69995,2185.35010,1884.44995,2062.94995,22849
2022-01-13,2045.099976,2088.44995,1836,2022.15002,15365
2022-01-14,1925.25,2381.69995,1864.050049,2284.80005,39797
2022-01-18,2098.64990,2521.94995,1912.5,1945.65002,39543
2022-01-19,2014.5,2244,1950.75,2040,24177
2022-01-20,2027.25,2167.5,1772.25,1810.5,15308
2022-01-21,1823.25,1876.80005,1611.85498,1711.050049,11876
2022-01-24,1598.84998,1601.40002,1367.81995,1514.69995,5327
2022-01-25,1448.40002,1858.94995,1331.099976,1501.94995,32971
2022-01-26,1504.5,1581,1331.099976,1333.65002,7718
2022-01-27,1356.59998,1491.75,1295.65503,1318.34998,4865
2022-01-28,1315.80005,1425.44995,1257.15002,1275,7715
2022-01-31,1229.099976,1420.34998,1203.59998,1369.34998,5928
2022-02-01,1326,1412.69995,1282.65002,1300.5,5215
2022-02-02,1300.5,1351.5,1285.19995,1326,2815
2022-02-03,1295.40002,1356.59998,1259.69995,1323.44995,4501
2022-02-04,1292.84998,1341.30005,1134.75,1150.050049,5051
2022-02-07,1144.94995,1181.16003,972.82501,997.049988,3456
2022-02-08,997.049988,1058.25,943.5,981.75,2842
2022-02-09,1007.25,1206.15002,1007.25,1162.80005,2988
2022-02-10,1104.15002,1422.90002,1104.15002,1295.40002,7246
2022-02-11,1282.65002,1578.44995,1282.65002,1491.75,10413
2022-02-14,1491.75,1764.59998,1491.75,1624.34998,11889
2022-02-15,1629.44995,1744.19995,1583.55005,1700.84998,5773
2022-02-16,1693.19995,1759.5,1634.55005,1741.65002,1991
2022-02-17,1734,1734,1512.15002,1581,2400
2022-02-18,1568.25,1598.84998,1428,1519.80005,1330
2022-02-22,1453.5,1486.65002,1338.75,1428,1260
2022-02-23,1428,1456.050049,1338.75,1425.44995,667
2022-02-24,1341.30005,1522.34998,1300.5,1517.25,1396
2022-02-25,1507.050049,1560.59998,1479,1540.19995,569
2022-02-28,1565.69995,1690.65002,1553.20496,1670.25,1109
2022-03-01,1680.44995,1708.5,1542.75,1700.84998,742
2022-03-02,1728.90002,1848.75,1696.77002,1787.55005,1848
2022-03-03,1810.5,1818.15002,1665.15002,1683,673
2022-03-04,1652.40002,1698.30005,1545.30005,1583.55005,629
2022-03-07,1563.15002,1583.55005,1338.75,1351.5,1395
2022-03-08,1377,1471.34998,1241.84998,1364.25,1461
2022-03-09,1394.84998,1527.44995,1377,1440.75,698
2022-03-10,1438.19995,1647.30005,1438.19995,1593.75,2942
2022-03-11,1568.25,1588.65002,1440.75,1440.75,687
2022-03-14,1440.75,1466.25,1318.34998,1320.90002,522
2022-03-15,1338.75,1435.65002,1338.75,1402.5,408
2022-03-16,1420.34998,1530,1326,1366.80005,1009
2022-03-17,1351.5,1575.90002,1351.5,1532.55005,1134
2022-03-18,1530,1547.84998,1443.30005,1479,952
2022-03-21,1499.40002,1555.5,1435.39502,1453.5,973
2022-03-22,1430.55005,1517.76001,1430.55005,1445.84998,925
2022-03-23,1445.84998,1591.19995,1326,1366.80005,3982
2022-03-24,1366.80005,1402.5,1318.34998,1333.65002,713
2022-03-25,1326,1348.94995,1195.94995,1206.15002,1453
2022-03-28,1206.15002,1257.15002,1152.59998,1178.099976,1176
